coordinates,Power generated,Power capacity,Remaining Capacity,KVlevels,color,generation name,number of buses,generation type,county,state
POINT (-103.685 40.2171),0.0,0.0,0.0,"{115.0, 13.8}",orange,BRUSH 4,3,ng,Morgan,Colorado
POINT (-102.7431 40.7569),76.250002,76.25,1.9999999949504854e-06,"{1.0, 115.0, 13.8, 230.0}",green,FLEMING,6,wind,Logan,Colorado
POINT (-102.3533 39.3383),39.820001,39.82,9.999999974752427e-07,{115.0},green,BURLINGTON 5,3,wind,Kit Carson,Colorado
POINT (-105.2009 40.0205),93.09999400000001,93.1,5.999999984851456e-06,{115.0},orange,BOULDER 10,2,ng,Boulder,Colorado
POINT (-106.3523 39.0942),78.850001,78.85,1.0000000116860974e-06,"{115.0, 500.0, 230.0}",blue,LEADVILLE 2,3,hydro,Lake,Colorado
POINT (-104.5953 40.0908),519.030003,685.11,166.07999700000005,"{230.0, 13.2, 13.8, 115.0, 500.0}",orange,KEENESBURG 2,6,ng,Weld,Colorado
POINT (-105.0018 39.6692),72.62000900000001,129.34,56.71999099999999,"{230.0, 13.8, 13.2, 115.0, 500.0, 22.0}",orange,DENVER 57,8,ng,Denver,Colorado
POINT (-104.796 40.0922),57.019991,100.8,43.780009,{115.0},orange,FORT LUPTON 3,3,ng,Weld,Colorado
POINT (-107.7299 39.5173),68.599998,68.6,1.9999999949504854e-06,"{115.0, 500.0, 230.0}",orange,RIFLE 2,3,ng,Garfield,Colorado
POINT (-105.2256 39.8586),58.799998,58.800000000000004,2.0000000020559128e-06,"{115.0, 230.0}",orange,ARVADA 10,2,ng,Jefferson,Colorado
POINT (-104.8333 38.8244),257.010002,257.01,1.9999999949504854e-06,"{115.0, 500.0, 230.0}",gray,COLORADO SPRINGS 34,3,coal,El Paso,Colorado
POINT (-105.5097 40.3768),34.020003,34.019999999999996,3.000000006636583e-06,"{115.0, 13.8}",blue,ESTES PARK 2,3,hydro,Larimer,Colorado
POINT (-104.8878 40.0922),45.280016,197.0,151.719984,"{230.0, 13.8, 115.0, 500.0, 24.0}",orange,FREDERICK,7,ng,Weld,Colorado
POINT (-102.9647 40.983),0.0,0.0,0.0,{115.0},green,PEETZ 4,2,wind,Logan,Colorado
POINT (-107.5912 40.4627),1427.610012,1427.6100000000001,1.1999999969702912e-05,"{1.0, 230.0, 13.8, 18.0, 115.0, 500.0}",gray,CRAIG 2,8,coal,Moffat,Colorado
POINT (-103.0772 40.9642),65.350003,65.35,3.000000006636583e-06,{115.0},green,PEETZ 5,1,wind,Logan,Colorado
POINT (-104.7069 38.6281),212.340002,360.66,148.31999800000003,"{1.0, 230.0, 13.8, 18.0, 115.0, 500.0}",orange,FOUNTAIN 5,8,ng,El Paso,Colorado
POINT (-105.0212 40.8609),800.4000060000001,800.4000000000001,5.999999984851456e-06,"{1.0, 230.0, 138.0, 13.8, 18.0, 115.0, 500.0, 345.0}",gray,WELLINGTON 4,13,coal,Larimer,Colorado
POINT (-105.7769 42.8378),23.76,230.55,206.79000000000002,"{138.0, 13.8, 18.0, 24.0, 345.0}",gray,GLENROCK 2,8,coal,Converse,Wyoming
POINT (-105.7872 42.9258),185.190002,185.19,1.9999999949504854e-06,"{138.0, 13.8}",green,GLENROCK 3,2,wind,Converse,Wyoming
POINT (-105.3833 44.2858),35.959999,88.0,52.040001,{138.0},gray,GILLETTE 3,2,coal,Campbell,Wyoming
POINT (-105.024 41.1297),53.900002,53.9,2.0000000020559128e-06,{138.0},green,CHEYENNE 6,3,wind,Laramie,Wyoming
POINT (-105.3833 44.2856),22.409998,120.0,97.590002,{138.0},gray,GILLETTE 4,1,coal,Campbell,Wyoming
POINT (-106.7959 42.4766),63.170002000000004,63.17,2.0000000020559128e-06,{138.0},blue,ALCOVA 1,1,hydro,Natrona,Wyoming
POINT (-106.0111 41.6751),111.090002,111.09,1.9999999949504854e-06,"{345.0, 138.0, 13.8}",green,ROCK RIVER 1,5,wind,Albany,Wyoming
POINT (-105.4608 44.3889),106.379999,483.7,377.320001,"{345.0, 138.0, 18.0, 1.0}",gray,WRIGHT 2,5,coal,Campbell,Wyoming
POINT (-110.5983 41.7581),304.109997,831.99,527.880003,"{345.0, 138.0, 161.0, 13.8}",gray,KEMMERER 2,6,coal,Lincoln,Wyoming
POINT (-106.1805 41.6744),82.79000399999998,82.78999999999999,3.999999989900971e-06,{138.0},green,ROCK RIVER 2,2,wind,Carbon,Wyoming
POINT (-110.4807 41.2881),48.170001,48.17,9.999999974752427e-07,"{138.0, 13.8}",green,MOUNTAIN VIEW 6,2,wind,Uinta,Wyoming
POINT (-105.3815 44.2901),90.189999,402.3,312.110001,"{345.0, 138.0, 13.8}",gray,GILLETTE 5,3,coal,Campbell,Wyoming
POINT (-104.72 41.1236),33.480000000000004,139.99,106.51,"{1.0, 230.0, 138.0, 13.8, 115.0, 345.0}",orange,CHEYENNE 7,10,ng,Laramie,Wyoming
POINT (-106.1603 42.0436),75.680001,75.68,9.999999974752427e-07,"{138.0, 13.8}",green,MEDICINE BOW 1,2,wind,Carbon,Wyoming
POINT (-109.8119 41.6217),6.469997,27.32,20.850003,{138.0},gray,GREEN RIVER 3,1,coal,Sweetwater,Wyoming
POINT (-105.999 43.0145),0.0,0.0,0.0,"{138.0, 18.0, 13.8}",green,GLENROCK 4,3,wind,Converse,Wyoming
POINT (-108.7875 41.7378),729.2899950000001,2441.92,1712.630005,"{345.0, 138.0, 18.0, 13.8}",gray,POINT OF ROCKS,8,coal,Sweetwater,Wyoming
POINT (-105.8543 43.0572),87.220001,87.22,9.999999974752427e-07,"{138.0, 13.8}",green,GLENROCK 5,2,wind,Converse,Wyoming
POINT (-106.7175 42.5484),45.550004,45.55,4.0000000041118255e-06,"{345.0, 138.0, 18.0, 13.8}",blue,ALCOVA 2,6,hydro,Natrona,Wyoming
POINT (-105.3786 44.285),32.539994,107.5,74.96000599999999,{138.0},orange,GILLETTE 6,1,ng,Campbell,Wyoming
POINT (-110.5444 41.2639),0.0,0.0,0.0,{138.0},green,MOUNTAIN VIEW 7,2,wind,Uinta,Wyoming
POINT (-104.8825 42.1089),414.309997,1710.0,1295.690003,"{138.0, 13.8, 18.0, 20.0, 345.0}",gray,WHEATLAND 2,5,coal,Platte,Wyoming
POINT (-105.3806 44.2919),36.9,116.2,79.30000000000001,"{138.0, 13.8}",gray,GILLETTE 7,2,coal,Campbell,Wyoming
POINT (-106.3758 41.9203),97.770002,97.77,2.00000000916134e-06,{138.0},green,MEDICINE BOW 2,2,wind,Carbon,Wyoming
POINT (-105.8353 43.0181),72.000001,72.0,9.999999974752427e-07,"{138.0, 13.8}",green,GLENROCK 6,3,wind,Converse,Wyoming
POINT (-106.9085 42.1561),62.91000600000001,62.91,6.000000013273166e-06,{138.0},blue,SINCLAIR,1,hydro,Carbon,Wyoming
POINT (-105.3811 44.2919),0.0,0.0,0.0,"{138.0, 13.8}",gray,GILLETTE 8,4,coal,Campbell,Wyoming
POINT (-110.0904 41.8805),44.699998,108.0,63.300002,"{138.0, 18.0, 13.8}",orange,KEMMERER 3,4,ng,Lincoln,Wyoming
POINT (-111.2058 43.3348),81.210002,81.21000000000001,1.9999999949504854e-06,"{1.0, 138.0, 13.8, 18.0, 345.0}",blue,IRWIN,7,hydro,Bonneville,Idaho
POINT (-114.9036 42.8416),59.15000500000001,59.15,5.000000008692496e-06,"{1.0, 138.0, 13.8}",blue,HAGERMAN 1,4,hydro,Gooding,Idaho
POINT (-115.6666 43.1472),183.20000100000001,183.20000000000002,9.999999974752427e-07,"{138.0, 18.0, 13.8}",orange,MOUNTAIN HOME 2,4,ng,Elmore,Idaho
POINT (-116.9203 47.7858),301.500002,301.5,1.9999999949504854e-06,"{345.0, 138.0, 13.8, 1.0}",orange,RATHDRUM 2,6,ng,Kootenai,Idaho
POINT (-116.9764 46.4231),89.020004,89.02000000000001,3.999999989900971e-06,"{345.0, 138.0, 13.8, 1.0}",yellow,LEWISTON 4,5,solar,Nez Perce,Idaho
POINT (-116.0583 43.528),94.920004,94.92,4.0000000041118255e-06,"{345.0, 138.0, 13.8}",blue,BOISE 14,5,hydro,Ada,Idaho
POINT (-115.7343 43.1792),180.6,180.6,0.0,"{345.0, 138.0}",orange,MOUNTAIN HOME 3,2,ng,Elmore,Idaho
POINT (-111.8294 43.4195),50.070001,50.07,9.999999974752427e-07,{138.0},green,IDAHO FALLS 7,1,wind,Bonneville,Idaho
POINT (-115.0172 42.8744),23.350002000000003,23.35,2.0000000020559128e-06,{138.0},green,HAGERMAN 2,2,wind,Twin Falls,Idaho
POINT (-116.3791 43.2435),26.070003,26.07,2.9999999995311555e-06,{138.0},blue,KUNA 2,1,hydro,Ada,Idaho
POINT (-114.9886 42.7708),25.990001999999997,25.990000000000002,1.9999999949504854e-06,"{1.0, 138.0, 13.8}",green,HAGERMAN 3,5,wind,Twin Falls,Idaho
POINT (-116.0531 48.0844),174.620004,174.62,3.999999989900971e-06,"{138.0, 13.8, 13.2, 20.0, 345.0}",blue,CLARK FORK,6,hydro,Bonner,Idaho
POINT (-116.8673 47.8043),166.4,166.4,0.0,{138.0},orange,RATHDRUM 3,4,ng,Kootenai,Idaho
POINT (-113.4832 42.6699),8.830002,8.83,2.000000000279556e-06,"{1.0, 138.0, 13.8}",blue,RUPERT 2,6,hydro,Minidoka,Idaho
POINT (-116.8975 44.8367),358.200004,358.2,3.999999989900971e-06,"{345.0, 138.0, 18.0, 13.8}",blue,CAMBRIDGE,7,hydro,Washington,Idaho
POINT (-115.0108 42.8253),38.960002,38.96,2.0000000020559128e-06,"{345.0, 138.0, 13.8, 22.0}",green,HAGERMAN 4,4,wind,Twin Falls,Idaho
POINT (-115.071 42.9138),45.310002,45.31,1.9999999949504854e-06,{138.0},blue,BLISS,1,hydro,Gooding,Idaho
POINT (-112.9019 42.6747),0.0,0.0,0.0,"{138.0, 18.0}",green,AMERICAN FALLS 2,2,wind,Power,Idaho
POINT (-116.5574 48.9595),20.190002,20.189999999999998,2.0000000020559128e-06,"{138.0, 18.0, 13.8}",blue,PONDERAY,4,hydro,Boundary,Idaho
POINT (-112.0625 43.4687),13.030002,13.030000000000001,1.999999998503199e-06,{138.0},blue,IDAHO FALLS 8,2,hydro,Bonneville,Idaho
POINT (-115.4005 43.0281),57.630003,57.629999999999995,3.000000006636583e-06,{138.0},green,GLENNS FERRY 1,1,wind,Elmore,Idaho
POINT (-111.7264 43.3864),48.320001,48.32,9.999999974752427e-07,{138.0},green,IONA 1,1,wind,Bonneville,Idaho
POINT (-116.2977 46.5143),208.58000199999998,208.57999999999998,1.9999999949504854e-06,"{345.0, 138.0, 13.8, 1.0}",blue,AHSAHKA,7,hydro,Clearwater,Idaho
POINT (-111.8039 43.5244),100.140001,100.14,9.999999974752427e-07,"{138.0, 18.0}",green,IDAHO FALLS 9,2,wind,Bonneville,Idaho
POINT (-115.452 43.0566),0.0,0.0,0.0,"{138.0, 13.8}",green,GLENNS FERRY 2,3,wind,Elmore,Idaho
POINT (-111.7485 42.2678),12.600002,12.6,2.000000000279556e-06,{138.0},blue,PRESTON 2,3,hydro,Franklin,Idaho
POINT (-114.9897 42.8406),19.730002,19.73,1.999999998503199e-06,"{1.0, 138.0, 13.8, 18.0, 20.0}",green,HAGERMAN 5,8,wind,Twin Falls,Idaho
POINT (-115.4826 43.0338),47.420003,47.419999999999995,3.000000006636583e-06,"{345.0, 138.0}",green,GLENNS FERRY 3,2,wind,Elmore,Idaho
POINT (-115.4515 43.3571),16.300001,16.3,1.0000000010279564e-06,"{138.0, 13.8}",blue,MOUNTAIN HOME 4,3,hydro,Elmore,Idaho
POINT (-116.9986 48.1802),21.490002,21.490000000000002,1.999999998503199e-06,"{138.0, 13.2, 13.8}",blue,OLDTOWN,3,hydro,Bonner,Idaho
POINT (-112.7486 42.7389),35.470002,35.47,2.0000000020559128e-06,{138.0},green,AMERICAN FALLS 3,1,wind,Power,Idaho
POINT (-113.3825 42.0994),26.450001999999998,26.450000000000003,1.9999999949504854e-06,"{138.0, 13.8}",yellow,MALTA 1,3,solar,Cassia,Idaho
POINT (-115.9779 42.9449),50.370002,50.37,2.0000000020559128e-06,{138.0},blue,BRUNEAU,1,hydro,Owyhee,Idaho
POINT (-111.8364 43.4671),88.000001,88.0,9.999999974752427e-07,"{345.0, 138.0, 13.8}",green,IONA 2,3,wind,Bonneville,Idaho
POINT (-112.8764 42.7778),59.490003,59.49,2.9999999995311555e-06,"{345.0, 138.0, 13.8, 1.0}",blue,AMERICAN FALLS 4,6,hydro,Power,Idaho
POINT (-111.794 42.5367),12.050002,12.05,1.999999998503199e-06,"{345.0, 138.0, 161.0}",blue,GRACE 2,4,hydro,Caribou,Idaho
POINT (-114.3553 42.5892),43.090002,43.09,1.9999999949504854e-06,"{138.0, 13.8}",blue,KIMBERLY 2,2,hydro,Twin Falls,Idaho
POINT (-114.0369 42.5268),38.120002,38.12,2.0000000020559128e-06,"{345.0, 138.0}",blue,MURTAUGH,3,hydro,Twin Falls,Idaho
POINT (-116.8197 43.9044),318.500002,318.5,1.9999999949504854e-06,"{345.0, 138.0, 13.8}",orange,NEW PLYMOUTH,5,ng,Payette,Idaho
POINT (-114.9247 42.7674),23.030003999999998,23.03,3.999999997006398e-06,"{138.0, 18.0, 22.0}",blue,HAGERMAN 6,3,hydro,Twin Falls,Idaho
POINT (-115.0367 42.88),26.930001,26.93,1.0000000010279564e-06,{138.0},green,HAGERMAN 7,1,wind,Twin Falls,Idaho
POINT (-113.9266 42.4903),19.750002000000002,19.75,2.0000000020559128e-06,{138.0},green,BURLEY 2,2,wind,Cassia,Idaho
POINT (-115.3143 48.4098),404.67000499999995,404.66999999999996,4.9999999873762135e-06,"{138.0, 13.8, 13.2, 20.0, 24.0, 345.0}",blue,LIBBY 2,8,hydro,Lincoln,Montana
POINT (-112.8766 46.1047),135.399999,135.4,9.999999974752427e-07,"{345.0, 138.0, 18.0, 13.8}",orange,ANACONDA 2,5,ng,Deer Lodge,Montana
POINT (-106.6547 45.9752),0.0,0.0,0.0,"{138.0, 13.8}",gray,COLSTRIP 1,2,coal,Rosebud,Montana
POINT (-111.2614 47.5213),9.670002,9.67,2.000000000279556e-06,{138.0},blue,GREAT FALLS 6,2,hydro,Cascade,Montana
POINT (-112.1097 48.51),0.0,0.0,0.0,"{345.0, 138.0, 18.0}",green,FAIRFIELD 5,4,wind,Toole,Montana
POINT (-110.0872 46.4494),5.790001,5.79,1.000000000139778e-06,"{138.0, 13.8}",green,TWO DOT,3,wind,Wheatland,Montana
POINT (-108.481 45.7756),172.8,172.8,0.0,"{1.0, 138.0, 13.8, 18.0, 345.0}",gray,BILLINGS 8,5,coal,Yellowstone,Montana
POINT (-107.9575 45.3074),119.050003,119.05000000000001,2.999999992425728e-06,"{345.0, 138.0, 18.0, 13.8}",blue,HARDIN 2,7,hydro,Big Horn,Montana
POINT (-114.0144 48.3415),281.170003,281.17,2.999999992425728e-06,"{345.0, 138.0, 18.0, 13.8}",blue,HUNGRY HORSE,7,hydro,Flathead,Montana
POINT (-111.7279 46.649),30.400002999999998,30.4,2.9999999995311555e-06,"{345.0, 138.0}",blue,HELENA 4,3,hydro,Lewis and Clark,Montana
POINT (-111.9653 47.7233),7.230001,7.23,9.999999992515995e-07,{138.0},green,FAIRFIELD 6,1,wind,Teton,Montana
POINT (-114.2339 47.6777),158.740003,158.74,2.999999992425728e-06,"{1.0, 138.0, 13.8, 18.0, 22.0, 345.0}",blue,POLSON 2,7,hydro,Lake,Montana
POINT (-106.4123 48.0122),141.72000500000001,141.72,5.000000015797923e-06,"{1.0, 138.0, 18.0, 13.8}",blue,GLASGOW 2,8,hydro,McCone,Montana
POINT (-108.4278 45.8117),68.0,68.0,0.0,"{138.0, 13.2}",gray,BILLINGS 9,2,coal,Yellowstone,Montana
POINT (-109.4828 46.2753),14.220002000000001,14.219999999999999,2.0000000020559128e-06,"{138.0, 13.8}",green,SHAWMUT,3,wind,Wheatland,Montana
POINT (-115.3582 47.5932),67.510006,67.51,5.999999999062311e-06,"{345.0, 138.0}",blue,THOMPSON FALLS 2,2,hydro,Sanders,Montana
POINT (-106.614 45.8831),1528.9650609999999,2272.0,743.0349390000001,"{1.0, 138.0, 13.8, 18.0, 345.0}",gray,COLSTRIP 2,9,coal,Rosebud,Montana
POINT (-112.5194 45.9293),39.390041000000004,45.75,6.359958999999996,"{345.0, 138.0, 13.8, 1.0}",orange,BUTTE 3,4,ng,Silver Bow,Montana
POINT (-111.2045 47.5344),57.690001,57.69,1.00000000458067e-06,{138.0},blue,GREAT FALLS 7,1,hydro,Cascade,Montana
POINT (-111.195 47.5375),44.960002,44.96,2.0000000020559128e-06,"{345.0, 138.0}",blue,GREAT FALLS 8,2,hydro,Cascade,Montana
POINT (-112.0047 46.9915),32.830004,32.83,4.0000000041118255e-06,{138.0},blue,WOLF CREEK,2,hydro,Lewis and Clark,Montana
POINT (-115.7336 47.9539),221.89000299999998,221.89,2.999999992425728e-06,"{345.0, 138.0, 13.8}",blue,NOXON,7,hydro,Sanders,Montana
POINT (-112.1847 48.5333),78.360001,78.36,9.999999974752427e-07,"{138.0, 13.8}",green,FAIRFIELD 7,3,wind,Glacier,Montana
POINT (-107.6 45.7578),115.7,115.7,0.0,"{1.0, 138.0, 13.2, 13.8, 345.0}",gray,HARDIN 3,5,coal,Big Horn,Montana
POINT (-112.1033 48.8203),180.650002,180.65,1.9999999949504854e-06,"{345.0, 138.0, 18.0}",green,KEVIN,3,wind,Toole,Montana
POINT (-111.0344 47.5517),42.599952,42.6,4.7999999999603915e-05,{138.0},orange,GREAT FALLS 9,1,ng,Cascade,Montana
POINT (-111.1225 47.5699),37.240005,37.239999999999995,5.000000001587068e-06,{138.0},blue,GREAT FALLS 10,3,hydro,Cascade,Montana
POINT (-111.0609 47.5817),22.540001,22.54,1.0000000010279564e-06,{138.0},blue,GREAT FALLS 11,2,hydro,Cascade,Montana
POINT (-106.375 31.7569),0.0,0.0,0.0,{115.0},orange,EL PASO 36,1,ng,El Paso,Texas
POINT (-106.4318 31.9836),818.020003,818.02,2.999999992425728e-06,"{1.0, 230.0, 13.8, 115.0, 500.0, 22.0, 24.0}",orange,EL PASO 37,14,ng,El Paso,Texas
POINT (-106.4275 31.9783),6.670001,6.67,1.000000000139778e-06,{115.0},yellow,EL PASO 38,1,solar,El Paso,Texas
